"Info","Info","Info","Objective","Objective","Extra Output","Variable","Variable","Variable","Variable",
"Iteration","Generation","Category","Total site energy consumption (kWh)","Discomfort ASHRAE 55 90% Acceptability (hr)","Cooling energy (kWh)","External wall construction","Flat roof construction","Glazing type","Partition construction",
"0","0","3-Non optimal","11160.17","1450.65214792054","23620.970","FLYASH BRICK","RRC SLAB","GLAZING-3","Partation Wall-Flyash",
"1","0","3-Non optimal","10635.87","1373.76350255331","22410.693","FLYASH + INSULATION","RRC SLAB","GLAZING-1","Partation AAC Wall",
"2","0","3-Non optimal","9837.18","1092.62295587566","20384.048","FLYASH BRICK","RCC + FOAM CONCRETE","GLAZING-8","Partation Wall-Red Brick",
"3","0","3-Non optimal","12022.54","1509.92308214924","25827.424","HOLLOW BRICK","RCC+ MARABLE","GLAZING-2","Partation Wall-Red Brick",
"4","0","3-Non optimal","6734","492.81415286272","12531.424","AAC + INSULATION","RCC+INSULATION+TILE","GLAZING-9","Partation Wall-Flyash",
"5","0","3-Non optimal","9789.91","1090.50620896984","20242.673","RED BRICK","RCC + FOAM CONCRETE","GLAZING-9","Partation AAC Wall",
"6","0","3-Non optimal","9667.2","1120.9261778599","19757.943","HOLLOW BRICK","RCC + FOAM CONCRETE","GLAZING-3","Partation AAC Wall",
"7","0","3-Non optimal","8736.29","1111.3905846186","17189.506","CONCRETE BRICK","RCC+INSULATION+TILE","GLAZING-1","Partation Wall-Red Brick",
"8","0","3-Non optimal","7047.6","583.130992888418","13314.919","FLYASH + INSULATION","RCC+INSULATION","GLAZING-7","Partation AAC Wall",
"9","0","3-Non optimal","8075.25","797.655447992473","15816.338","FLYASH BRICK","RCC+INSULATION+TILE","GLAZING-4","Partation AAC Wall",
"10","0","3-Non optimal","8474.07","889.239459497375","16850.868","FLYASH BRICK","RCC+INSULATION","GLAZING-2","Partation Wall-Flyash",
"11","0","3-Non optimal","9686.84","1105.13147478017","19819.936","HOLLOW BRICK","RCC + FOAM CONCRETE","GLAZING-4","Partation AAC Wall",
"12","0","3-Non optimal","9698.44","1107.03305818332","19856.288","HOLLOW BRICK","RCC + FOAM CONCRETE","GLAZING-8","Partation AAC Wall",
"13","0","3-Non optimal","8316.11","901.270666629585","16298.010","HOLLOW BRICK","RCC+INSULATION","GLAZING-3","Partation Wall-Red Brick",
"14","0","3-Non optimal","12201.07","1614.01477583177","26071.119","CONCRETE BRICK","RCC+ MARABLE","GLAZING-1","Partation Wall-Red Brick",
"15","0","3-Non optimal","12054.42","1588.57250360513","25717.998","CONCRETE BRICK","RCC+ MARABLE","GLAZING-10","Partation Wall-Red Brick",
"16","0","3-Non optimal","7428.68","624.433555807773","14122.725","AAC BRICK","RCC+INSULATION","GLAZING-8","Partation Wall-Flyash",
"17","0","3-Non optimal","12146.26","1633.15316401545","25905.959","CONCRETE BRICK","RCC+ MARABLE","GLAZING-5","Partation AAC Wall",
"18","0","3-Non optimal","6792.69","537.933514960812","12650.520","FLYASH + INSULATION","RCC+INSULATION+TILE","GLAZING-7","Partation AAC Wall",
"19","0","3-Non optimal","8103.18","836.70356976419","15770.359","HOLLOW BRICK","RCC+INSULATION+TILE","GLAZING-9","Partation Wall-Red Brick",
"20","0","3-Non optimal","8436.54","882.135034412725","16762.302","RED BRICK","RCC+INSULATION+TILE","GLAZING-1","Partation Wall-Red Brick",
"21","0","3-Non optimal","11082.55","1431.55281211161","23441.838","FLYASH BRICK","RRC SLAB","GLAZING-10","Partation Wall-Red Brick",
"22","0","3-Non optimal","10112.48","1331.45067518888","20736.728","CONCRETE BRICK","RCC + FOAM CONCRETE","GLAZING-8","Partation Wall-Flyash",
"23","0","3-Non optimal","8386.51","839.877941870863","16648.739","RED BRICK","RCC+INSULATION+TILE","GLAZING-5","Partation Wall-Flyash",
"24","0","3-Non optimal","12011.71","1508.76282712993","25815.724","HOLLOW BRICK","RCC+ MARABLE","GLAZING-4","Partation Wall-Red Brick",
"25","0","3-Non optimal","7071.68","618.624213829533","13139.425","AAC BRICK","RCC+INSULATION+TILE","GLAZING-6","Partation AAC Wall",
"26","0","3-Non optimal","11503.11","1420.49196022241","24854.873","FLYASH + INSULATION","RCC+ MARABLE","GLAZING-7","Partation Wall-Flyash",
"27","0","3-Non optimal","9916.68","1105.08758630629","20588.877","FLYASH BRICK","RCC + FOAM CONCRETE","GLAZING-5","Partation Wall-Red Brick",
"28","0","3-Non optimal","9153.71","924.573013272269","18587.879","AAC BRICK","RCC + FOAM CONCRETE","GLAZING-9","Partation Wall-Flyash",
"29","0","3-Non optimal","11653.33","1424.58874104548","25012.119","AAC BRICK","RCC+ MARABLE","GLAZING-9","Partation Wall-Red Brick",
"30","0","3-Non optimal","11606.39","1432.48605770132","24865.047","AAC BRICK","RCC+ MARABLE","GLAZING-3","Partation Wall-Flyash",
"31","0","3-Non optimal","6867.47","488.972936908462","12881.752","AAC + INSULATION","RCC+INSULATION+TILE","GLAZING-5","Partation Wall-Red Brick",
"32","0","3-Non optimal","10834.9","1388.75399557322","22747.092","AAC BRICK","RRC SLAB","GLAZING-5","Partation Wall-Flyash",
"33","0","3-Non optimal","9124.21","919.232240859908","18722.958","FLYASH + INSULATION","RCC + FOAM CONCRETE","GLAZING-2","Partation Wall-Flyash",
"34","0","3-Non optimal","6985.8","580.665726096709","13140.424","FLYASH + INSULATION","RCC+INSULATION+TILE","GLAZING-3","Partation AAC Wall",
"35","0","3-Non optimal","8410.4","910.906928716751","16539.510","HOLLOW BRICK","RCC+INSULATION","GLAZING-2","Partation Wall-Red Brick",
"36","0","3-Non optimal","11841.34","1491.45551883935","25479.964","FLYASH BRICK","RCC+ MARABLE","GLAZING-7","Partation AAC Wall",
"37","0","3-Non optimal","9200.69","942.349514217542","18679.983","AAC BRICK","RCC + FOAM CONCRETE","GLAZING-5","Partation AAC Wall",
