"Info","Info","Info","Objective","Objective","Extra Output","Variable","Variable","Variable","Variable","Variable",
"Iteration","Generation","Category","Total site energy consumption (kWh)","Discomfort ASHRAE 55 90% Acceptability (hr)","Cooling energy (kWh)","Window to Wall %","Site orientation (°)","Facade type","Local shading type","% External window opens",
"0","0","3-Non optimal","11344.24","1476.34914911238","24137.376","40","180","Layout 3x3-10-0.8M","OVERHANG -3 SIDEFINS","60",
"1","0","3-Non optimal","11343.82","1478.84289482421","24134.371","50","180","Layout 3x5-10-0.8M","OVERHANG -4 - SDEFINS","70",
"2","0","3-Non optimal","11539.32","1493.03676277591","24660.358","30","180","Layout 5x5-10-0.8M","No shading","60",
"3","0","3-Non optimal","11390.2","1444.90715956767","24300.915","35","270","Layout 4x6-10-0.8M","OVERHANG -4 - SDEFINS","70",
"4","0","3-Non optimal","11660.52","1506.16748304815","24972.775","40","180","Layout 4x5-10-0.8M","No shading","60",
"5","0","3-Non optimal","11360.66","1479.58015088102","24177.349","20","180","Layout 4x5-10-0.6M","OVERHANG -2","70",
"6","0","3-Non optimal","11572.2","1467.75542340766","24757.163","20","270","Layout 6x3-10-1M","No shading","60",
"7","0","3-Non optimal","11462.28","1464.94176396042","24466.133","40","0","Layout 6x5-10-0.8M","OVERHANG -2","70",
"8","0","3-Non optimal","11517.71","1450.159018081","24606.265","20","90","Layout 4x6-10-0.1M","OVERHANG -1","60",
"9","0","3-Non optimal","11539.13","1464.78582861133","24690.171","10","0","Layout 3x5-10-0.6M","OVERHANG -2","80",
"10","0","3-Non optimal","11605.18","1471.40189539413","24843.988","35","270","Layout 6x4-10-0.8M","No shading","70",
"11","0","3-Non optimal","11556.52","1471.89415617218","24727.238","30","0","Layout 3x5-10-1M","OVERHANG -3 SIDEFINS","60",
"12","0","3-Non optimal","11380.21","1453.98213307252","24261.629","35","0","Layout 5x3-10-1M","OVERHANG -4 - SDEFINS","70",
"13","0","3-Non optimal","11611.87","1464.8618879092","24848.376","25","90","Layout 3x4-10-1M","No shading","50",
"14","0","3-Non optimal","11570.53","1462.73682969046","24744.354","50","90","Layout 5x3-10-1M","No shading","80",
"15","0","3-Non optimal","11250.52","1453.13503384728","23882.026","15","90","Layout 4x4-10-0.6M","OVERHANG -4 - SDEFINS","50",
"16","0","3-Non optimal","11280.82","1473.77369769489","23968.256","50","180","Layout 4x4-10-1M","OVERHANG -2","70",
"17","0","3-Non optimal","11343.05","1438.29015246476","24180.142","15","270","Layout 5x3-10-0.8M","OVERHANG -4 - SDEFINS","80",
"18","0","3-Non optimal","11288.68","1453.4810227261","23987.743","10","90","Layout 5x3-10-0.6M","OVERHANG -3 SIDEFINS","80",
"19","0","3-Non optimal","11312.35","1473.7390040183","24053.067","45","180","Layout 4x4-10-0.6M","OVERHANG -3 SIDEFINS","60",
"20","0","3-Non optimal","11483.57","1453.27400987748","24544.080","50","270","Layout 3x6-10-0.8M","OVERHANG -3 SIDEFINS","60",
"21","0","3-Non optimal","11452.02","1461.85098325508","24445.792","50","0","Layout 5x4-10-0.8M","OVERHANG -2","50",
"22","0","3-Non optimal","11336.11","1450.47169108456","24116.904","45","90","Layout 3x5-10-0.6M","OVERHANG -4 - SDEFINS","50",
"23","0","3-Non optimal","11401.01","1451.37759406265","24286.605","25","90","Layout 3x6-10-1M","OVERHANG -3 SIDEFINS","50",
"24","0","3-Non optimal","11545.02","1470.51821957344","24699.801","35","0","Layout 4x6-10-0.6M","OVERHANG -3 SIDEFINS","70",
"25","0","3-Non optimal","11385.43","1449.55030925538","24247.893","15","90","Layout 4x5-10-0.6M","OVERHANG -3 SIDEFINS","60",
"26","0","3-Non optimal","11347.12","1446.75418039546","24150.222","15","90","Layout 4x5-10-0.6M","OVERHANG -2","70",
"27","0","3-Non optimal","11336.1","1439.61435500662","24155.379","20","270","Layout 5x3-10-1M","OVERHANG -4 - SDEFINS","60",
"28","0","3-Non optimal","11587.95","1474.61413618567","24807.476","20","0","Layout 6x3-10-0.6M","No shading","60",
"29","0","3-Non optimal","11452.02","1461.85098325508","24445.792","45","0","Layout 5x4-10-0.8M","OVERHANG -2","50",
"30","0","3-Non optimal","11325.67","1473.93719077824","24094.502","20","180","Layout 3x3-10-0.6M","OVERHANG -2","80",
"31","0","3-Non optimal","11591.91","1467.18918824292","24787.363","35","90","Layout 6x5-10-1M","No shading","80",
"32","0","3-Non optimal","11467.68","1454.18990673239","24460.154","35","90","Layout 6x5-10-1M","OVERHANG -1","50",
"33","0","3-Non optimal","11464.48","1480.72855170716","24462.836","30","180","Layout 3x4-10-0.8M","OVERHANG -1","80",
"34","0","3-Non optimal","11454.83","1451.06833475554","24470.852","35","270","Layout 4x6-10-0.8M","OVERHANG -3 SIDEFINS","80",
"35","0","3-Non optimal","11289.21","1453.00528896811","23991.386","15","90","Layout 4x3-10-0.6M","OVERHANG -4 - SDEFINS","60",
"36","0","3-Non optimal","11594.86","1471.71210105127","24832.677","10","0","Layout 4x4-10-1M","OVERHANG -1","60",
"37","0","3-Non optimal","11387.45","1479.97841568872","24248.543","10","180","Layout 4x5-10-0.8M","OVERHANG -3 SIDEFINS","80",
"38","0","3-Non optimal","11289.05","1451.46619332915","23989.808","45","90","Layout 4x4-10-0.6M","OVERHANG -2","60",
"39","0","3-Non optimal","11221.46","1473.13888230901","23798.175","30","180","Layout 6x6-10-0.8M","OVERHANG -2","50",
"40","0","3-Non optimal","11372.54","1441.50063367258","24255.935","50","270","Layout 5x3-10-0.8M","OVERHANG -2","70",
"41","0","3-Non optimal","11608.48","1471.97157837907","24869.327","25","0","Layout 3x4-10-0.6M","OVERHANG -1","50",
"42","0","3-Non optimal","11337.64","1448.82780707614","24126.173","35","90","Layout 3x5-10-0.6M","OVERHANG -4 - SDEFINS","70",
"43","0","3-Non optimal","11663.42","1477.52710205513","25016.746","30","0","Layout 3x6-10-0.8M","OVERHANG -1","70",
"44","0","3-Non optimal","11578.07","1462.27919259761","24797.082","10","270","Layout 3x5-10-0.8M","OVERHANG -1","80",
"45","0","3-Non optimal","11401.43","1442.40744736713","24338.268","10","270","Layout 4x3-10-0.8M","OVERHANG -4 - SDEFINS","80",
"46","0","3-Non optimal","11463.03","1465.3758769384","24466.760","20","0","Layout 6x5-10-0.8M","OVERHANG -2","60",
"47","0","3-Non optimal","11182.86","1470.62797844153","23696.244","40","180","Layout 6x6-10-0.8M","OVERHANG -4 - SDEFINS","60",
"48","0","3-Non optimal","11533.96","1470.14814799139","24669.450","50","0","Layout 4x5-10-1M","OVERHANG -3 SIDEFINS","80",
"49","0","3-Non optimal","11489.16","1452.05749088981","24529.732","10","90","Layout 5x4-10-0.8M","OVERHANG -1","60",
"50","1","3-Non optimal","11428.77","1479.31302498477","24362.491","40","180","Layout 5x5-10-0.8M","OVERHANG -1","60",
"51","1","3-Non optimal","11642.62","1477.09290616318","24960.178","30","0","Layout 5x3-10-0.6M","No shading","60",
"52","1","3-Non optimal","11360","1449.3871088338","24181.983","40","90","Layout 3x5-10-1M","OVERHANG -2","60",
"53","1","3-Non optimal","11698.93","1508.97080646552","25075.516","50","180","Layout 3x5-10-0.8M","No shading","60",
